optimizer,learning rate,batch size,num iteration,duration,train loss,train accuracy,test loss,test accuracy,sharpness,non uniformity,sharpness test,non uniformity test
lbfgs,0.01,1000,200,677,0.0,100.0,4.12003,80.9,0.0,0.0,0,0
adagrad,0.01,25,230,84,9e-05,100.0,1.4493,83.4,0.4,5.0,0,0
sgd,0.01,25,3530,1002,0.0001,100.0,1.7940200000000002,81.2,1.6,6.8,0,0
sgd,0.025,25,1280,428,0.0001,100.0,1.6429900000000002,81.9,0.8,4.4,0,0
adagrad,0.025,25,220,88,0.0001,100.0,1.67701,82.8,0.4,4.1,0,0
adagrad,0.075,25,400,191,0.0001,100.0,2.03209,81.2,0.5,4.3,0,0
sgd,0.075,25,390,108,0.0001,100.0,1.46708,82.9,0.3,2.4,0,0
sgd,0.05,25,610,169,0.0001,100.0,1.5811899999999999,82.2,0.4,3.1,0,0
adagrad,0.05,25,230,84,9e-05,100.0,1.91156,82.1,0.7,9.3,0,0
adagrad,0.1,25,400,144,0.0001,100.0,2.3870299999999998,80.8,0.6,5.3,0,0
sgd,0.1,25,290,76,0.0001,100.0,1.4901799999999998,82.8,0.2,2.0,0,0
sgd,0.1,100,1400,152,0.0001,100.0,1.43871,82.8,0.5,3.0,0,0
adagrad,0.1,100,1080,157,0.0001,100.0,2.31137,80.3,0.6,8.4,0,0
adagrad,0.01,100,320,43,0.0001,100.0,1.44723,83.0,0.6,5.7,0,0
sgd,0.01,100,14080,1700,0.0001,100.0,1.92904,80.7,2.5,10.2,0,0
adagrad,0.025,100,320,54,0.0001,100.0,1.73121,82.2,0.9,10.6,0,0
